trace,mode,include_hit_miss,include_cache,include_candidate,include_topk,include_avgtopk,include_request,rl_state_use_missratio,miss_ratio,byte_miss_ratio,throughput_mqps,exit_code,run_timestamp,base_config
meta_reag,compound=1,0,1,0,0,1,1,0,0.368129,0.225278,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c018_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,0,0,0,1,0,0.368129,0.225381,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c040_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,1,0,0,1,0,0.368133,0.225338,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c010_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,0,1,1,0,0,0,0.368134,0.225689,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c008_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,0,1,0,0,0,0.368134,0.225689,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c038_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,1,0,0,0,1,0,0.368137,0.225614,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c016_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,0,1,0,0,0,0,0,0.368138,0.225723,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c013_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,0,1,0,1,1,0,0.368138,0.225378,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c036_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,0,0,0,1,1,0,0.368144,0.225503,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c030_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
meta_reag,compound=1,1,1,1,0,1,1,0,0.368145,0.225448,0.01,0,bestcfg_statecombo_3t_3m_20260207_000001__meta_reag__c048_002_r01,LOH_SCORE_USE_COMPOUND=1 LOH_SCORE_USE_IRT=1 LOH_USE_SOFTMAX=1 LOH_USE_HEURISTIC_SIGNS=0
