file,trace,dataset,cache_size_mib,loh_mr,loh_bmr,loh_mr_runtime,loh_bmr_runtime,baseline_best_mr,baseline_best_mr_algo,baseline_best_bmr,baseline_best_bmr_algo,mr_gain_vs_best,bmr_gain_vs_best,matched_algo_count
ab_alibabaBlock_77.cachesim,alibabaBlock_77,alibabaBlock,23.0,0.764296,0.886588,798.9,724.5,0.6204,LHD,0.8154,LHD,-0.2319406834300452,-0.08730439048319846,12
ab_alibabaBlock_770.cachesim,alibabaBlock_770,alibabaBlock,7.0,0.273125,0.550147,9.7,15.2,0.2751,GDSF,0.5553,ThreeLCache-BMR,0.007179207560886966,0.009279668647577819,12
ab_alibabaBlock_771.cachesim,alibabaBlock_771,alibabaBlock,499.0,0.699903,0.981524,60.5,61.6,0.6973,GDSF,0.9811,WTinyLFU-w0.01-SLRU,-0.0037329700272479877,-0.00043216797472223013,12
ab_alibabaBlock_772.cachesim,alibabaBlock_772,alibabaBlock,3.0,0.670542,0.826943,7.9,13.8,0.6705,GDSF,0.827,GDSF,-6.263982102906263e-05,6.892382103987151e-05,12
ab_alibabaBlock_773.cachesim,alibabaBlock_773,alibabaBlock,0.4833984375,0.373844,0.792611,1.7,1.7,0.3729,WTinyLFU-w0.01-SLRU,0.7934,ARC,-0.0025315097881469573,0.0009944542475422734,11
ab_alibabaBlock_774.cachesim,alibabaBlock_774,alibabaBlock,2.0,0.636137,0.774887,6.6,11.8,0.6356,GDSF,0.7753,GDSF,-0.0008448709880426347,0.0005326970205081861,12
ab_alibabaBlock_775.cachesim,alibabaBlock_775,alibabaBlock,0.078125,0.65742,0.757391,0.1,0.1,0.6624,GDSF,0.7548,GDSF,0.007518115942028962,-0.0034326974032856516,12
ab_alibabaBlock_776.cachesim,alibabaBlock_776,alibabaBlock,0.248046875,0.334984,0.472111,1.8,2.0,0.3362,GDSF,0.474,GDSF,0.0036168947055324058,0.003985232067510494,12
ab_alibabaBlock_777.cachesim,alibabaBlock_777,alibabaBlock,0.4833984375,0.427632,0.832939,1.4,3.7,0.4036,WTinyLFU-w0.01-SLRU,0.82,S3FIFO-0.1000-2,-0.05954410307234885,-0.01577926829268297,12
ab_alibabaBlock_778.cachesim,alibabaBlock_778,alibabaBlock,0.8623046875,0.502133,0.684794,3.5,5.0,0.501,Cacheus,0.6848,GDSF,-0.0022614770459082846,8.761682242918355e-06,12
ab_alibabaBlock_779.cachesim,alibabaBlock_779,alibabaBlock,6.0,0.402361,0.750783,4.9,8.2,0.404,WTinyLFU-w0.01-SLRU,0.7467,GDSF,0.0040569306930693105,-0.005468059461631107,12
ab_alibabaBlock_78.cachesim,alibabaBlock_78,alibabaBlock,13.0,0.217363,0.521046,165.9,86.2,0.2131,ThreeLCache-BMR,0.5024,ThreeLCache-BMR,-0.020004692632566816,-0.037113853503184815,12
ab_alibabaBlock_780.cachesim,alibabaBlock_780,alibabaBlock,26.0,0.536344,0.886542,8.9,22.7,0.5287,GLCache,0.8834,GLCache,-0.014458104785322671,-0.003556712700928333,12
ab_alibabaBlock_781.cachesim,alibabaBlock_781,alibabaBlock,5.0,0.378425,0.500948,3.6,7.3,0.3464,WTinyLFU-w0.01-SLRU,0.4984,WTinyLFU-w0.01-SLRU,-0.09245092378752895,-0.005112359550561676,12
ab_alibabaBlock_782.cachesim,alibabaBlock_782,alibabaBlock,0.41015625,0.646714,0.789852,4.3,6.9,0.6432,S3FIFO-0.1000-2,0.7735,S3FIFO-0.1000-2,-0.0054633084577114695,-0.021140271493212712,12
ab_alibabaBlock_783.cachesim,alibabaBlock_783,alibabaBlock,28.0,0.76213,0.958015,27.2,89.6,0.7495,GLCache,0.9172,GLCache,-0.01685123415610396,-0.044499563890100235,12
ab_alibabaBlock_784.cachesim,alibabaBlock_784,alibabaBlock,728.0,0.672058,0.956567,440.3,321.9,0.6664,GDSF,0.9581,GDSF,-0.008490396158463464,0.0016000417492954876,12
ab_alibabaBlock_785.cachesim,alibabaBlock_785,alibabaBlock,78.0,0.446576,0.639353,13.0,20.6,0.4553,GDSF,0.6514,ThreeLCache-BMR,0.01916099275203165,0.01849401289530247,12
